modele,learning_rate,err_train,err_test,acc_train,acc_test
lineaire,0.0001,15.50,19.90,84.50,80.10
lineaire,0.0005,10.94,14.92,89.06,85.08
lineaire,0.001,9.69,13.26,90.31,86.74
lineaire,0.005,7.41,11.72,92.59,88.28
lineaire,0.01,6.97,11.62,93.03,88.38
lineaire,0.05,9.15,13.72,90.85,86.28
lineaire,0.1,11.19,15.10,88.81,84.90
1couche,0.0001,40.02,42.06,59.98,57.94
1couche,0.0005,10.92,15.18,89.08,84.82
1couche,0.001,8.77,12.90,91.23,87.10
1couche,0.005,3.83,8.68,96.17,91.32
1couche,0.01,2.40,7.74,97.60,92.26
1couche,0.05,4.10,8.96,95.90,91.04
1couche,0.1,16.68,20.96,83.32,79.04
2couches,0.0001,88.73,88.58,11.27,11.42
2couches,0.0005,88.73,88.58,11.27,11.42
2couches,0.001,24.80,28.46,75.20,71.54
2couches,0.005,4.11,7.76,95.89,92.24
2couches,0.01,2.40,6.88,97.60,93.12
2couches,0.05,9.15,13.72,90.85,86.28
2couches,0.1,89.99,90.80,10.01,9.20
